tick,g0,g1,g3,g4,g7
5,0,0,100,0,1024
10,0,0,100,0,1024
15,0,0,100,0,1024
20,0,0,100,0,1024
25,0,0,100,0,1024
30,0,0,100,0,1024
35,0,0,100,0,1024
40,0,0,100,0,1024
45,0,0,100,0,1024
50,0,0,100,0,1024
55,0,0,100,0,1024
60,0,0,100,0,1024
65,0,0,100,0,1024
70,0,0,100,0,1024
75,0,0,100,0,1024
80,0,0,100,0,1024
85,0,0,100,0,1024
90,0,0,100,0,1024
95,0,0,100,0,1024
100,0,0,100,0,1024
105,0,0,100,0,1024
110,0,0,100,0,1024
115,0,0,100,0,1024
120,0,0,100,0,1024
125,0,0,100,0,1024
130,0,0,100,0,1024
135,0,0,100,0,1024
140,0,0,100,0,1024
145,0,0,100,0,1024
150,0,0,100,0,1024
155,0,0,100,0,1024
160,0,0,100,0,1024
165,0,0,100,0,1024
170,0,0,100,0,1024
175,0,0,100,0,1024
180,0,0,100,0,1024
185,1,390,97,0,1024
190,1,350,100,0,1024
195,0,370,99,0,1024
200,0,330,100,0,1024
205,0,290,100,0,1024
210,0,250,100,0,1024
215,0,210,100,0,1024
220,1,270,100,0,1024
225,1,310,100,0,1024
230,1,270,100,0,1024
235,1,240,100,0,1024
240,1,292,100,0,1024
245,1,348,100,0,1024
250,1,370,100,1,1024
255,1,367,100,1,1024
260,1,363,100,1,1024
265,0,0,100,1,1024
270,0,0,100,1,1024
275,0,0,100,1,1024
280,0,0,100,1,1024
285,0,0,100,1,1024
290,0,0,100,1,1024
295,0,0,100,1,1024
300,0,0,100,1,1024
