Date,Time,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),RxBt(V),GSpd(mph),Sats,RPM(rpm),ST,TH,P1,P2,P3,P4,SA,SB,SC,SD,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2026-08-20,18:51:20.470,-19,-19,100,0,0,33,10,-19,14,0,15.6,0.0,0,0,-1,0,1024,-545,950,414,-1,-1,-1,-1,0x000000000000000C,1500,1500,1500,1500,1500,1500,1643,2012,1527,1514,1500,1521,1550,1500,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-08-20,18:51:20.660,-20,-19,100,0,0,33,10,-17,16,0,15.6,0.0,0,0,-1,-1,1024,-545,962,409,-1,-1,-1,-1,0x000000000000000C,1500,1500,1500,1500,1500,1500,1643,2012,1527,1514,1500,1521,1550,1500,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-08-20,18:51:20.670,-20,-19,100,0,0,33,10,-17,16,0,15.6,0.0,0,0,-1,0,1024,-545,916,389,-1,-1,-1,-1,0x000000000000000C,1500,1500,1500,1500,1500,1500,1643,2012,1527,1514,1500,1521,1550,1500,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-08-20,18:51:20.770,-20,-19,100,0,0,33,10,-17,16,0,15.6,0.0,0,0,-2,0,1024,-545,889,384,-1,-1,-1,-1,0x000000000000000C,1501,1500,1500,1500,1500,1500,1643,2012,1527,1514,1500,1521,1550,1500,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-08-20,18:51:20.870,-20,-19,100,0,0,33,10,-19,17,0,15.6,0.0,0,0,-1,0,1024,-367,846,369,-1,-1,-1,-1,0x000000000000000C,1500,1500,1500,1500,1500,1500,1643,2012,1527,1514,1500,1521,1550,1500,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-08-20,18:51:20.970,-20,-19,100,0,0,33,10,-19,17,0,15.6,0.0,0,0,-1,-1,1024,-108,780,373,-1,-1,-1,-1,0x000000000000000C,1500,1500,1500,1500,1500,1500,1643,2012,1527,1514,1500,1521,1550,1500,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-08-20,18:51:21.070,-20,-19,100,0,0,33,10,-18,19,0,15.6,0.0,0,0,-1,-1,1024,138,646,337,-1,-1,-1,-1,0x000000000000000C,1500,1500,1500,1500,1500,1500,1643,2012,1527,1514,1500,1521,1550,1500,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-08-20,18:51:21.170,-20,-19,100,0,0,33,10,-18,19,0,15.6,0.0,0,0,-1,-1,1024,246,512,363,-1,-1,-1,-1,0x000000000000000C,1501,1500,1500,1500,1500,1500,1643,2012,1527,1514,1500,1521,1550,1500,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-08-20,18:51:21.270,-20,-19,100,0,0,33,10,-18,19,0,15.6,0.0,0,0,-1,-1,1024,267,381,322,-1,-1,-1,-1,0x000000000000000C,1500,1500,1500,1500,1500,1500,1643,2012,1527,1514,1500,1521,1550,1500,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-08-20,18:51:21.370,-19,-19,100,0,0,33,10,-18,21,0,15.6,0.0,0,0,-1,-1,1024,267,300,312,-1,-1,-1,-1,0x000000000000000C,1500,1500,1500,1500,1500,1500,1643,2012,1527,1514,1500,1521,1550,1500,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-08-20,18:51:21.470,-19,-19,100,0,0,33,10,-18,21,0,15.6,0.0,0,0,0,-2,1024,384,188,286,-1,-1,-1,-1,0x000000000000000C,1500,1500,1500,1500,1500,1500,1643,2012,1527,1514,1500,1521,1550,1500,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-08-20,18:51:21.570,-19,-19,100,0,0,33,10,-18,23,0,15.6,0.0,0,0,-1,-1,1024,626,61,250,-1,-1,-1,-1,0x000000000000000C,1500,1500,1500,1500,1500,1500,1643,2012,1527,1514,1500,1521,1550,1500,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-08-20,18:51:21.670,-19,-19,100,0,0,33,10,-18,23,0,15.6,0.0,0,0,-1,-1,1024,816,-47,225,-1,-1,-1,-1,0x000000000000000C,1500,1500,1500,1500,1500,1500,1643,2012,1527,1514,1500,1521,1550,1500,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-08-20,18:51:21.770,-20,-19,100,0,0,33,10,-18,25,0,15.6,0.0,0,0,0,-1,1024,916,-135,194,-1,-1,-1,-1,0x000000000000000C,1500,1500,1500,1500,1500,1500,1643,2012,1527,1514,1500,1521,1550,1500,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-08-20,18:51:21.870,-20,-19,100,0,0,33,10,-18,25,0,15.6,0.0,0,0,-1,-1,1024,914,-225,204,-1,-1,-1,-1,0x000000000000000C,1500,1500,1500,1500,1500,1500,1643,2012,1527,1514,1500,1521,1550,1500,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-08-20,18:51:21.970,-20,-19,100,0,0,33,10,-18,25,0,15.6,0.0,0,0,0,-1,1024,914,-301,168,-1,-1,-1,-1,0x000000000000000C,1500,1500,1500,1500,1500,1500,1643,2012,1527,1514,1500,1521,1550,1500,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-08-20,18:51:22.070,-20,-19,100,0,0,33,10,-20,27,0,15.6,0.0,0,0,-1,-2,1024,963,-373,76,-1,-1,-1,-1,0x000000000000000C,1500,1500,1500,1500,1500,1500,1643,2012,1527,1514,1500,1521,1550,1500,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-08-20,18:51:22.170,-20,-19,100,0,0,33,10,-20,27,0,15.6,0.0,0,0,-1,-1,1024,1024,-440,87,-1,-1,-1,-1,0x000000000000000C,1500,1500,1500,1500,1500,1500,1643,2012,1527,1514,1500,1521,1550,1500,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-08-20,18:51:22.270,-21,-19,100,0,0,33,10,-19,29,0,15.6,0.0,0,0,-1,-1,1024,1024,-517,56,-1,-1,-1,-1,0x000000000000000C,1500,1500,1500,1500,1500,1500,1643,2012,1527,1514,1500,1521,1550,1500,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-08-20,18:51:22.370,-21,-19,100,0,0,33,10,-19,29,0,15.6,0.0,0,0,0,-2,1024,1024,-574,20,-1,-1,-1,-1,0x000000000000000C,1500,1500,1500,1500,1500,1500,1643,2012,1527,1514,1500,1521,1550,1500,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-08-20,18:51:22.470,-21,-19,100,0,0,33,10,-19,29,0,15.6,0.0,0,0,-1,-1,1024,1024,-626,-21,-1,-1,-1,-1,0x000000000000000C,1500,1500,1500,1500,1500,1500,1643,2012,1527,1514,1500,1521,1550,1500,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-08-20,18:51:22.570,-21,-19,100,0,0,33,10,-21,31,0,15.6,0.0,0,0,-1,-1,1024,1024,-683,-61,-1,-1,-1,-1,0x000000000000000C,1500,1500,1500,1500,1500,1500,1643,2012,1527,1514,1500,1521,1550,1500,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-08-20,18:51:22.670,-21,-19,100,0,0,33,10,-21,31,0,15.6,0.0,0,0,-1,-1,1024,1024,-720,-82,-1,-1,-1,-1,0x000000000000000C,1500,1500,1500,1500,1500,1500,1643,2012,1527,1514,1500,1521,1550,1500,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-08-20,18:51:22.770,-21,-26,100,0,0,33,10,-17,32,0,15.6,0.0,0,0,-1,-2,1024,1024,-770,-97,-1,-1,-1,-1,0x000000000000000C,1500,1500,1500,1500,1500,1500,1643,2012,1527,1514,1500,1521,1550,1500,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-08-20,18:51:22.870,-21,-26,100,0,0,33,10,-17,32,0,15.6,0.0,0,0,-1,-1,1024,1024,-795,-129,-1,-1,-1,-1,0x000000000000000C,1500,1500,1500,1500,1500,1500,1643,2012,1527,1514,1500,1521,1550,1500,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-08-20,18:51:22.970,-21,-26,100,0,0,33,10,-17,32,0,15.6,0.0,0,0,0,-1,1024,1024,-827,-164,-1,-1,-1,-1,0x000000000000000C,1500,1500,1500,1500,1500,1500,1643,2012,1527,1514,1500,1521,1550,1500,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-08-20,18:51:23.070,-21,-26,100,0,0,33,10,-19,34,0,15.6,0.0,0,0,0,-2,1024,1024,-866,-210,-1,-1,-1,-1,0x000000000000000C,1500,1500,1500,1500,1500,1500,1643,2012,1527,1514,1500,1521,1550,1500,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-08-20,18:51:23.170,-21,-26,100,0,0,33,10,-19,34,0,15.6,0.0,0,0,-1,-2,1024,1024,-891,-241,-1,-1,-1,-1,0x000000000000000C,1500,1500,1500,1500,1500,1500,1643,2012,1527,1514,1500,1521,1550,1500,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-08-20,18:51:23.270,-18,-26,100,0,0,33,10,-16,36,0,15.6,0.0,0,0,0,-2,1024,1024,-906,-276,-1,-1,-1,-1,0x000000000000000C,1500,1500,1500,1500,1500,1500,1643,2012,1527,1514,1500,1521,1550,1500,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-08-20,18:51:23.370,-18,-26,100,0,0,33,10,-16,36,0,15.6,0.0,0,0,-1,-1,1024,1024,-949,-297,-1,-1,-1,-1,0x000000000000000C,1500,1500,1500,1500,1500,1500,1643,2012,1527,1514,1500,1521,1550,1500,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-08-20,18:51:23.470,-18,-26,100,0,0,33,10,-17,38,0,15.6,0.0,0,0,-1,-1,1024,1024,-957,-302,-1,-1,-1,-1,0x000000000000000C,1500,1500,1500,1500,1500,1500,1643,2012,1527,1514,1500,1521,1550,1500,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-08-20,18:51:23.570,-18,-26,100,0,0,33,10,-17,38,0,15.6,0.0,0,0,0,-1,1024,1024,-995,-348,-1,-1,-1,-1,0x000000000000000C,1500,1500,1500,1500,1500,1500,1643,2012,1527,1514,1500,1521,1550,1500,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-08-20,18:51:23.670,-18,-26,100,0,0,33,10,-17,38,0,15.6,0.0,0,0,0,-1,1024,1024,-995,-343,-1,-1,-1,-1,0x000000000000000C,1500,1500,1500,1500,1500,1500,1643,2012,1527,1514,1500,1521,1550,1500,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-08-20,18:51:23.770,-20,-26,100,0,0,33,10,-20,40,0,15.6,0.0,0,0,-1,-2,1024,1024,-1022,-349,-1,-1,-1,-1,0x000000000000000C,1500,1500,1707,1500,1500,1500,1643,2012,1532,1516,1501,1525,1546,1500,2012,1707,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-08-20,18:51:23.870,-20,-26,100,0,0,33,10,-20,40,0,15.6,0.0,0,0,0,-1,1024,1024,-1021,-374,-1,-1,-1,-1,0x000000000000000C,1500,1500,1699,1500,1500,1500,1643,2012,1532,1516,1502,1525,1546,1500,2012,1699,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-08-20,18:51:23.970,-20,-26,100,0,0,33,10,-19,42,0,15.6,0.0,0,0,-1,-2,1024,1024,-1024,-369,-1,-1,-1,-1,0x000000000000000C,1500,1500,1691,1500,1500,1500,1643,2012,1532,1516,1503,1525,1546,1500,2012,1691,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-08-20,18:51:24.070,-20,-26,100,0,0,33,10,-19,42,0,15.6,0.0,0,0,-1,-1,1024,1024,-1024,-399,-1,-1,-1,-1,0x000000000000000C,1500,1500,1683,1500,1500,1500,1643,2012,1532,1516,1504,1525,1546,1500,2012,1683,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-08-20,18:51:24.170,-20,-26,100,0,0,33,10,-19,42,0,15.6,0.0,0,0,-1,-1,1024,1024,-1024,-410,-1,-1,-1,-1,0x000000000000000C,1500,1500,1675,1500,1500,1500,1643,2012,1532,1516,1505,1525,1546,1500,2012,1675,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-08-20,18:51:24.270,-22,-26,100,0,0,33,10,-21,44,0,15.6,0.0,0,0,-1,-2,1024,1024,-1024,-430,-1,-1,-1,-1,0x000000000000000C,1500,1500,1667,1500,1500,1500,1643,2012,1532,1516,1506,1525,1546,1500,2012,1667,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-08-20,18:51:24.370,-22,-26,100,0,0,33,10,-21,44,0,15.6,0.0,0,0,-1,-1,1024,1024,-1024,-456,-1,-1,-1,-1,0x000000000000000C,1500,1500,1659,1500,1500,1500,1643,2012,1532,1516,1507,1525,1546,1500,2012,1659,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-08-20,18:51:24.470,-22,-26,100,0,0,33,10,-20,46,0,15.6,0.0,0,0,-1,-2,1024,1024,-1024,-435,-1,-1,-1,-1,0x000000000000000C,1500,1500,1651,1500,1500,1500,1643,2012,1532,1516,1507,1525,1546,1500,2012,1651,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-08-20,18:51:24.570,-22,-26,100,0,0,33,10,-20,46,0,15.6,0.0,0,0,-1,-1,1024,1024,-1024,-461,-1,-1,-1,-1,0x000000000000000C,1500,1500,1643,1500,1500,1500,1643,2012,1532,1516,1508,1525,1546,1500,2012,1643,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-08-20,18:51:24.670,-22,-26,100,0,0,33,10,-21,48,0,15.6,0.0,0,0,-1,-1,1024,1024,-1024,-476,-1,-1,-1,-1,0x000000000000000C,1500,1500,1635,1500,1500,1500,1643,2012,1532,1516,1508,1525,1546,1500,2012,1635,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-08-20,18:51:24.770,-22,-26,100,0,0,33,10,-21,48,0,15.6,0.0,0,0,-1,-1,1024,1024,-1024,-497,-1,-1,-1,-1,0x000000000000000C,1500,1500,1627,1500,1500,1500,1643,2012,1532,1516,1509,1525,1546,1500,2012,1627,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-08-20,18:51:24.870,-22,-26,100,0,0,33,10,-21,48,0,15.6,0.0,0,0,0,-1,1024,1024,-1024,-502,-1,-1,-1,-1,0x000000000000000C,1500,1500,1619,1500,1500,1500,1643,2012,1532,1516,1509,1525,1546,1500,2012,1619,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-08-20,18:51:24.970,-22,-26,100,0,0,33,10,-21,49,0,15.6,0.0,0,0,-1,-1,1024,1024,-1024,-527,-1,-1,-1,-1,0x000000000000000C,1500,1500,1611,1500,1500,1500,1643,2012,1532,1516,1509,1525,1546,1500,2012,1611,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-08-20,18:51:25.070,-22,-26,100,0,0,33,10,-21,49,0,15.6,0.0,0,0,-1,-2,1024,1024,-1024,-507,-1,-1,-1,-1,0x000000000000000C,1500,1500,1606,1500,1500,1500,1643,2012,1532,1516,1509,1525,1546,1500,2012,1606,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-08-20,18:51:25.170,-22,-26,100,0,0,33,10,-19,51,0,15.6,0.0,0,0,-1,-2,1024,1024,-1024,-538,-1,-1,-1,-1,0x000000000000000C,1500,1500,1606,1500,1500,1500,1643,2012,1532,1516,1510,1525,1546,1500,2012,1606,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-08-20,18:51:25.270,-22,-26,100,0,0,33,10,-19,51,0,15.6,0.0,0,0,-1,-1,1024,1024,-1024,-563,-1,-1,-1,-1,0x000000000000000C,1500,1500,1606,1500,1500,1500,1643,2012,1532,1516,1510,1525,1546,1500,2012,1606,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-08-20,18:51:25.370,-22,-26,100,0,0,33,10,-19,51,0,15.6,0.0,0,0,-1,-1,1024,1024,-1024,-527,-1,-1,-1,-1,0x000000000000000C,1500,1500,1605,1500,1500,1500,1643,2012,1532,1516,1510,1525,1546,1500,2012,1605,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
